subj AGE SEX RACE EDUC WRKSTAT MARITAL EARNRS INCOME RINCOME PARTYID GUNLAW PRES16 SMALLGAP TRCOURTS
349   53   2    2   12       6       5      0     10      NA       1      1     NA       NA       NA
350   37   2    2   15       4       1      2     12       1       1      1      1        2        5
351   51   2    2   14       1       1      2     NA      NA       2     NA     NA       NA       NA
352   35   2    2   12       8       1      2     11       9       3      1      1       NA       NA
353   60   2    1   20       5       1      0     NA      NA       4      1      2        3        8
354   68   1    3   16       5       1      1     12      12       1      2      1       NA       NA
355   43   1    1   20       1       1      2     NA      12       0      1      1       NA       NA
356   36   2    3   12       7       1      1     12      NA       0      1      1        2        7
357   34   2    2    9       1       5      1      9       8       0      1      1        4        4
358   39   1    2   18       1       1      2     12      12       3     NA      1        2        6
359   52   1    1   14       1       5      1     12      12       6      2      2       NA       NA
360   70   1    1   12       1       4      1     12      12       4      1      2        3        7
361   60   1    1   12       5       1      1     NA      NA       6     NA      2        3        5
362   61   2    1   13       7       1      1     12      NA       7      1     NA       NA       NA
363   32   2    1   14       2       1      2     12      NA       5     NA      2       NA       NA
364   40   2    1   16       1       4      2     12      12       5      1      2       NA       NA
365   44   1    1   17       1       3      3     NA      12       6      2      2        4        6
366   67   2    2    6       7       3      1     NA      NA       0      1      1       NA        8
367   70   2    1   16       1       5      1     12      12       0      1      1       NA       NA
368   27   2    1   16       1       5      1     12      12       2      1      1        4        3
369   30   2    1   18       1       1      2     NA      12       2     NA     NA       NA       NA
370   61   1    1   16       1       1      1     NA      NA       4      1      4       NA       NA
371   30   1    1   16       1       5      1     NA      NA       5      1     NA       NA       NA
372   38   1    1   16       1       1      2     NA      12       0      1      1        2        6
373   27   2    1   16       1       5      2     NA      12       0      1      1       NA       NA
374   67   2    1   15       5       1      0     NA      NA       1     NA      1       NA       NA
375   45   1    1   16       1       4      4     12      12       5      1      2       NA       NA
376   68   2    1   14       5       1      2     12      12       2      1      1        2        4
377   18   2    1   14       1       5      3     12       5       2     NA     NA       NA       NA
378   77   2    1   14       5       2      1     NA      NA       3      2      2       NA       NA
379   78   2    1   16       7       2      0     12      NA       4      2      2       NA       NA
380   61   2    1   16       2       1      2     12      NA       0     NA      1       NA       NA
381   72   1    1   12       2       1      3     12       1       3     NA     NA       NA       NA
382   89   2    1   12       7       2      0     NA      NA       5     NA      1        2        9
383   75   2    1   19       5       2      0     12      NA       2      1      1       NA       NA
384   48   1    3   15       2       1      2     12      12       1      1      1        1        8
385   48   2    1   16       1       1      5     NA      12       0      1      1       NA       NA
386   41   2    1   16       1       5      1     12      12       0      1      1       NA       NA
387   30   2    1   16       1       5      1     12      12       3     NA      3        2        6
388   29   2    1   20       1       5      1     12      12       7      2      3       NA       NA
389   38   1    2   14       1       1      1     NA      NA       0      2      2        2        9
390   76   2    2   14       5       2      0     NA      NA       3     NA      1       NA       NA
391   55   2    3   13       1       3      1     12      NA       3      2     NA        1        4
392   28   1    1   18       1       5      1      9      NA       0     NA      1        1        4
393   18   2    2    9       7       5      2     NA      NA       1      2     NA       NA       NA
394   24   2    3   17       3       5      1      7      NA       2      1     NA        1        7
395   34   1    1    0       1       1      1     12      12       1     NA      1       NA       NA
396   77   2    1   16       2       1      2     NA      NA       6      1      3        3        9
397   89   1    1   12       5       5      0     12      NA       4     NA      2        4        8
398   69   1    1   19       2       1      2     12      12       0     NA      1       NA       NA
399   70   1    1   12       5       3      0     12      12       2      1      1       NA       NA
400   71   2    1   16       5       1      2     12      NA       3      1      2       NA       NA
401   34   1    1   16       1       5      1     12      12       3     NA      1       NA       NA
402   77   2    3   12       8       5     NA     NA      NA       3     NA     NA        1        5
403   20   2    1   12       1       5      3     NA       2       3      2     NA        4        5
404   38   2    1    3       2       1      2      4      NA       5     NA     NA        1        1
405   29   2    1   12       7       5      1     12      NA       4      2     NA       NA       NA
406   69   1    1   15       5       1      0     12      NA       4     NA      2       NA       NA
407   36   2    1   11       4       5      2     10      NA       2      1      1       NA       NA
408   43   2    3   14       3       1      2     NA      NA      NA     NA     NA        5        7
409   64   2    1   13       8       3      0      8      NA       3     NA     NA       NA       NA
410   53   1    1   13       1       1      3     12      12       4      2      2       NA       NA
411   69   2    1   15       5       1      0     NA      NA       3     NA     NA       NA       NA
412   39   2    1   10       3       3      0     11      NA       1      1      1       NA       NA
413   57   1    1   14       1       1      2     NA      NA       3      1      2       NA       NA
414   63   2    1   15       1       1      2     12      12       6     NA      2       NA       NA
415   75   2    1    8       5       5      1     NA      NA       3     NA     NA        4        2
416   32   1    1   16       1       1      2     NA      NA       2      1      1       NA       NA
417   46   1    1   13       1       4      2     12      12       3      1      2        3        8
